,hour,platform_os,no,date_2020-07-03,date_2020-07-04,date_2020-07-05,date_2020-07-06,date_2020-07-07,date_2020-07-08,date_2020-07-09,date_2020-07-10,auction_id,experiment,device_make,browser
7186,10,6,0,0,0,0,1,0,0,0,0,7186,1,46,2
4168,18,6,0,0,0,0,0,0,1,0,0,4168,0,114,14
819,15,6,0,0,1,0,0,0,0,0,0,819,1,90,3
7901,8,6,1,0,0,0,0,0,0,0,1,7901,1,119,3
7169,15,6,1,1,0,0,0,0,0,0,0,7169,0,46,2
1081,9,6,0,0,0,0,0,0,1,0,0,1081,0,46,2
7546,4,6,0,0,0,0,0,0,0,0,1,7546,1,46,2
7323,22,6,0,0,0,0,0,0,0,1,0,7323,1,46,2
6454,1,6,0,0,0,0,0,0,0,1,0,6454,1,261,3
523,19,6,0,0,0,1,0,0,0,0,0,523,0,46,2
3413,8,6,1,1,0,0,0,0,0,0,0,3413,1,46,2
7823,17,6,0,0,1,0,0,0,0,0,0,7823,0,184,14
3523,17,6,0,0,0,0,0,0,1,0,0,3523,0,46,2
156,11,6,0,1,0,0,0,0,0,0,0,156,1,46,2
427,15,5,0,1,0,0,0,0,0,0,0,427,0,267,8
5251,18,6,0,0,0,0,0,0,1,0,0,5251,1,91,3
7522,4,6,0,0,0,0,0,0,0,0,1,7522,1,217,3
143,13,6,0,0,0,1,0,0,0,0,0,143,1,46,2
1913,15,6,0,1,0,0,0,0,0,0,0,1913,0,46,2
352,14,6,0,0,0,0,0,0,1,0,0,352,0,46,2
2518,9,6,0,0,0,0,0,0,0,1,0,2518,0,46,2
656,1,6,0,0,0,0,0,0,0,0,1,656,1,114,14
5284,20,6,0,0,0,0,0,1,0,0,0,5284,1,46,6
5152,19,6,0,0,0,0,0,0,1,0,0,5152,1,46,2
4554,15,6,0,0,1,0,0,0,0,0,0,4554,1,37,3
62,15,6,1,1,0,0,0,0,0,0,0,62,0,72,6
6268,2,6,0,0,0,0,0,1,0,0,0,6268,0,46,2
3251,9,6,0,0,0,0,1,0,0,0,0,3251,1,46,2
6170,18,6,0,0,0,0,0,0,1,0,0,6170,1,192,14
3260,10,6,0,0,0,1,0,0,0,0,0,3260,1,184,3
7724,17,5,0,0,0,1,0,0,0,0,0,7724,0,267,8
3470,16,6,0,0,1,0,0,0,0,0,0,3470,0,46,2
3723,8,6,0,1,0,0,0,0,0,0,0,3723,1,133,3
6204,11,6,0,0,0,0,0,0,0,1,0,6204,1,46,2
564,13,6,0,0,0,0,0,0,0,0,1,564,0,184,14
2524,0,6,0,0,1,0,0,0,0,0,0,2524,0,46,2
3078,6,6,0,0,0,0,0,0,1,0,0,3078,0,46,2
1117,15,6,1,0,1,0,0,0,0,0,0,1117,0,164,14
948,4,6,0,0,0,0,0,0,0,1,0,948,0,46,2
1114,18,6,0,0,0,0,0,0,1,0,0,1114,1,155,3
7394,8,6,0,0,0,0,1,0,0,0,0,7394,1,46,2
5272,15,6,0,1,0,0,0,0,0,0,0,5272,0,46,2
4227,15,6,0,1,0,0,0,0,0,0,0,4227,0,199,3
6288,14,5,0,0,0,0,0,0,0,1,0,6288,1,267,8
6817,14,6,0,0,0,0,0,0,1,0,0,6817,0,197,14
3430,15,6,0,1,0,0,0,0,0,0,0,3430,0,46,2
1792,6,6,0,0,0,0,0,0,0,1,0,1792,1,46,2
1672,17,6,0,0,0,0,0,0,1,0,0,1672,0,78,3
3876,16,6,0,0,1,0,0,0,0,0,0,3876,1,46,2
4771,12,5,0,0,0,0,0,0,1,0,0,4771,1,267,8
6522,22,6,0,0,0,0,0,0,0,1,0,6522,1,164,6
918,4,6,0,0,0,0,0,0,0,0,1,918,0,46,2
3246,15,6,0,1,0,0,0,0,0,0,0,3246,0,101,14
2373,15,5,0,1,0,0,0,0,0,0,0,2373,0,267,8
2563,8,6,1,0,0,0,0,0,0,1,0,2563,1,72,3
2735,15,6,1,1,0,0,0,0,0,0,0,2735,0,46,2
6217,15,6,0,0,0,0,0,0,0,0,1,6217,1,46,2
3526,14,6,0,1,0,0,0,0,0,0,0,3526,1,46,2
6827,17,6,0,0,0,0,0,0,1,0,0,6827,1,199,14
6521,2,6,0,0,0,0,1,0,0,0,0,6521,1,46,2
1899,12,6,0,0,0,0,0,0,0,0,1,1899,1,46,2
2512,1,6,0,0,0,0,0,0,0,1,0,2512,0,46,2
3465,15,6,0,1,0,0,0,0,0,0,0,3465,0,46,2
4494,15,6,0,1,0,0,0,0,0,0,0,4494,0,127,6
5130,10,6,0,0,0,0,1,0,0,0,0,5130,0,46,2
3325,8,6,0,0,0,0,0,0,1,0,0,3325,1,24,3
7462,5,6,0,0,0,0,0,0,0,1,0,7462,1,46,2
7954,15,6,0,1,0,0,0,0,0,0,0,7954,0,46,2
330,18,6,0,0,1,0,0,0,0,0,0,330,0,46,2
3824,21,6,0,0,0,0,0,0,0,1,0,3824,1,46,2
1204,22,6,0,0,0,0,0,0,1,0,0,1204,1,46,3
3879,13,6,0,0,0,0,0,0,0,0,1,3879,0,186,6
3373,14,6,0,0,0,0,0,0,0,1,0,3373,1,46,2
4010,6,6,0,0,0,0,0,0,1,0,0,4010,1,46,2
2583,15,6,0,1,0,0,0,0,0,0,0,2583,0,46,2
792,10,6,0,0,0,1,0,0,0,0,0,792,0,46,2
1844,15,6,0,1,0,0,0,0,0,0,0,1844,0,15,6
5962,0,6,0,0,0,1,0,0,0,0,0,5962,1,46,2
